original_url,modified_url,gender,DATE,MEET,STATE_PROV
https://www.tfrrs.org/results/87295/Ed_Temple_Classic_college,https://www.tfrrs.org/results/m/87295/Ed_Temple_Classic_college,m,2025-01-05,Ed Temple Classic (college),TN
https://www.tfrrs.org/results/87295/Ed_Temple_Classic_college,https://www.tfrrs.org/results/f/87295/Ed_Temple_Classic_college,f,2025-01-05,Ed Temple Classic (college),TN
https://www.tfrrs.org/results/87188/Wagner_Invitational_2025,https://www.tfrrs.org/results/m/87188/Wagner_Invitational_2025,m,2025-01-03,Wagner Invitational 2025,NY
https://www.tfrrs.org/results/87188/Wagner_Invitational_2025,https://www.tfrrs.org/results/f/87188/Wagner_Invitational_2025,f,2025-01-03,Wagner Invitational 2025,NY
https://www.tfrrs.org/results/87838/2nd_Annual_Marathon_Sports_Winter_Classic,https://www.tfrrs.org/results/m/87838/2nd_Annual_Marathon_Sports_Winter_Classic,m,2024-12-29,2nd Annual Marathon Sports Winter Classic,MA
https://www.tfrrs.org/results/87838/2nd_Annual_Marathon_Sports_Winter_Classic,https://www.tfrrs.org/results/f/87838/2nd_Annual_Marathon_Sports_Winter_Classic,f,2024-12-29,2nd Annual Marathon Sports Winter Classic,MA
https://www.tfrrs.org/results/87990/2024_Night_at_The_TRACK_-_December,https://www.tfrrs.org/results/m/87990/2024_Night_at_The_TRACK_-_December,m,2024-12-27,2024 Night at The TRACK - December,MA
https://www.tfrrs.org/results/87990/2024_Night_at_The_TRACK_-_December,https://www.tfrrs.org/results/f/87990/2024_Night_at_The_TRACK_-_December,f,2024-12-27,2024 Night at The TRACK - December,MA
https://www.tfrrs.org/results/88140/CSS_Opener,https://www.tfrrs.org/results/m/88140/CSS_Opener,m,2024-12-14,CSS Opener,MN
https://www.tfrrs.org/results/88140/CSS_Opener,https://www.tfrrs.org/results/f/88140/CSS_Opener,f,2024-12-14,CSS Opener,MN
https://www.tfrrs.org/results/87551/USM_Alumni_Open,https://www.tfrrs.org/results/m/87551/USM_Alumni_Open,m,2024-12-14,USM Alumni Open,ME
https://www.tfrrs.org/results/87551/USM_Alumni_Open,https://www.tfrrs.org/results/f/87551/USM_Alumni_Open,f,2024-12-14,USM Alumni Open,ME
https://www.tfrrs.org/results/87615/Jimmy_Grant_Invite,https://www.tfrrs.org/results/m/87615/Jimmy_Grant_Invite,m,2024-12-14,Jimmy Grant Invite,IA
https://www.tfrrs.org/results/87615/Jimmy_Grant_Invite,https://www.tfrrs.org/results/f/87615/Jimmy_Grant_Invite,f,2024-12-14,Jimmy Grant Invite,IA
